sentiment,text,data_id
positive,Of course I have purchased this filter many times from the store for  my refrigerator but being able to purchase it from Amazon is so much easier.,71
positive,Excelent,71
positive,Everything met my expectations.,71
negative,Very cheap generic plastic and connectors weak,71
positive,Washing machine is running like a champ again.,71
positive,Easy to install. Sturdy and looks good attached to the outside of the house. Keeps small animals from coming into my garage. Easy to keep clean. Good in the outdoor weather.,71
positive,Replaced the old blower wheel on my 20 yr old dryer.,71
positive,nice product and cute for season,71
negative,Filter not as good as I thought it might be.,71
negative,Ice would melt so fast. We put the ice in the freezer.,71
positive,Very hard to see from this photo but these are very very “rose gold” colored not bad I won’t send them back not what I was hoping for though … and not what the picture for me in anyway depicted. As you can imagine I’ve had several over the years of the stove top covers for the burners and these are by far the thinnest I’ve ever purchased even thinner than the ones at the dollar store but they’ll do the trick I’ll get a new set in a few months like I always do and they’ll be fine.,71
positive,Buen remplazo,71
positive,Good product but expensive.,71
positive,"This thing is awesome as u can just grab as many eggs without opening anything, we go through a lot of eggs, love how they roll forward without breaking",71
positive,"I wanted to wait a few months after purchasing this washer before leaving a review. I can only say this.....  If you are unsure about this product, BUY IT!! I researched just about every portable washer on Amazon and took a chance on this one. Let me just say that I couldn't be more satisfied!",71
positive,Not as good as the original. It's more flimsy doesn't fit as tight as original.,71
negative,They don't hold the larger eggs so only half of mine fit the box.,71
positive,Received fast dryer was broke back up in no time.,71
positive,Perfect for getting rid of the paper filters,71
positive,great freezer,71
negative,Filters don't last long basically changing filter every month,71
negative,"I was so excited about this with us just moving into a new home. This thing wouldn’t stick. Not even a little bit. Got to digging & turns out my dishwasher is not magnetic. I’m having to return it because of this, so check before you order.",71
positive,Worked and fit perfectly,71
positive,I like,71
positive,"We liked the slimmer hood size and rounded edges since we had to get around it in a corner without bumping into it.  We used it over a Jenn - Air range top  that already had a down draft, but we needed a light.  We also thought the space looked too empty before.  So it fills it in nicely, matches our other stainless steel appliances.  The fan motor is so quiet we might use it instead of the downdraft.  Great purchase!",71
negative,"As expensive as these small filters are, I truly expected them to last longer than two weeks!!!  Very disappointed",71
positive,This part was compatible with my washer. I ordered another part that was supposed to be compatible and it wasn’t. Suck with the part!,71
positive,Just the length I needed. I'm using a standard dish washer as a portable and this hose gave me the length I needed.,71
positive,very good,71
positive,"Worked great. Use these for favorite espresso, Illy",71
positive,Very easy to install and works great,71
negative,I would give it less than 1 star. It was defective right out of the box and they were out of stock so we couldn't replace it. Real disappointment.,71
positive,Has worked great for several weeks now.  Easy install.,71
negative,"It's my fault for not looking at these more carefully!  BE ADVISED THESE DO NOT HAVE THE PAPER &#34;LID&#34; TO COVER GROUNDS!  What this means is that you have a mess when you remove the EZ-Cup lid.  It also puts grounds in the coffee cup itself.  There is a reason these are cheaper than other brands!  They work, but you'll have a bit of a mess to clean up after each use. Also will need to clean the cup holder on your Keurig more often.",71
positive,great price and the black porcelain was just a perfect addition,71
negative,Dead after four months.,71
positive,works great ...been using it for years,71
positive,Great find!,71
positive,Good parts,71
positive,Great value easy to put on,71
negative,"When I got my order, the seal was broken and water was dripping out of the filter. I sent back and got my money back",71
positive,We needed a washer in our appartment to do small loads but didn't have any way to connect one in out tiny apartment.  This was the answer. We took a chance and hoped for the best. So far it worked perfectly.  We love it and was well worth the investment.,71
positive,"I got this sign to help my daughter learn Responsibilities, she unloads the dishwasher and this helps to show her when the dishes are clean and to do her chores. It's super cute and so easy to move the slider, the magnet is super strong aswell. This will not fall off when you open the door.",71
positive,I used it to replace my other filter.,71
positive,They looks nice in the stainless steel appliances and the quality is great.,71
positive,Seems to be a quality replacement part,71
negative,The replacement was noisy too and didn’t last long.  Solenoid starts growling after just a few weeks.  Stick with OEM parts!,71
positive,Worked Great,71
positive,"Fixed my issue great set, 21 yr old dryer drying again!!",71
positive,Washer and Dryer are both still going strong. I needed a washer & dryer to hold up to our large family. I have used them daily for the past few years. If I were to change something. I would make them without all the push button technology and just the basic for good clean clothes.,71
positive,These bags work very well in my compactor.  They haven't torn nor leaked.  They don't have a good method of closure.  The manufacturer supplies a wire twist tie.  The top of the bag is a straight edge.  Needs improvement on the closure method.,71
negative,"Looks good until you turn the fan on, then it turns into a 747 ready for take off!!!  It's difficult after you paid the electrician and contractor to say&#34; hey this monster has to be fixed.&#34; What to do???",71
negative,"Got the dishwasher working again... but only lasted 2 wash cycles, now back to square one. I will not be buying item again!",71
positive,i frist  review badly which was a mistake on my ends . its is really awesome snd i love its,71
positive,"I like this little washing machine so far. I had to replace another one that broke down and went with this one. It is a very powerful washing machine and get my clothes, towels, sheets, etc. Clean. I also love the fact that the spin dry almost gets them all the way dry. I hope this one lasts longer than my last one.",71
positive,Easy to install worked like it was supposed to,71
negative,The product description is not accurate and the restocking fee is unbelievable.,71
negative,"The unit was broken when I received it. If you look at the photo, you can see where I drilled a hole and secured it with a bolt & nut. I had read that these break easily, so I knew I would have to repair it. However, mine arrived broken. I am kind of glad it arrived broken because it allowed me to repair the thing and make it stronger. It would not be good to have this break in the dryer. The plastic where it broke is a really weak point in the plastic and I am certain it would probably have broken in the dryer, eventually. After I bolted it back together, I actually added a tie strap on each end (not shown in the pics).",71
negative,"Fit ok, but not a perfect seal. Burns out bulbs on broil.",71
positive,I have a Samsung refrigerator and have ordered other filters that leaked. I was skeptical about ordering at first but these were very good and do not leak.,71
positive,Correct part,71
positive,Great product. Everything included for DIY replacement of your worn/noisy dryer rollers.,71
negative,"You have to assemble/glue the temperature ring on the knob but they are really cute. However, these are not good for knobs you push in to turn on. When you push in, the knob slides all the way to the back and won’t turn the eye on. And when your manly man uses the stove, he will twist the knob without pushing in and totally strip out the plastic connectors, leaving you shopping for replacements for your replacements. ☹️",71
positive,Worked as it should,71
negative,The lower angled arm is longer than the current clips and does not fit my shelves<br />Am I missing something?,71
positive,"This machine is small and mighty. It produces a lot of ice and has a decent size storage bin. The scoop provided is kinda small and shallow so I bought a 38oz round scoop which is perfect. I have a small restaurant and so far it's keeping up with ice demand. I am using the -1 to 0 on the ice size and getting ice about every 15 minutes. The thicker the ice cube, the harder it is for the ice to break apart when the sheet of ice falls off the ice plate.  It is fairly quietly, but when the ice drops, it's quite noisy and can be quite startling.  I do keep getting an error message when the ice that comes out in a large sheet can't fall into the bin and blocks the sensor to make ice.  Tried to message the seller re: the error message,  but has not responded to my message and it's been over a week. (SMH) So, the machine is a good buy (even though a little pricey for its size) if you want a small machine that makes a lot of ice, but concerned about the error message since it happened within days of plugging in and producing ice.<br />So, it's  been a few weeks and still getting the E2 error message. Still no return message from the seller. That's bad customer service. Also, a side note: the opening is kinda small because the door doesn't push in all the way. The door edge is sharp and I keep scraping my the top of my hand/ fingers when scooping ice.",71
positive,"If you live in a small place and have lots of dishes, I think it's worth it. Having it has really helped especially since I hate washing all the dishes by hand.",71
positive,Easy to install works great and seller got it to me within a few days.,71
positive,This things great.  Wish i could turn off the beeping noise (or turn the volume down).  Its so loud,71
negative,"Product did work great for first month or so then starts making all types of wining noises and clicking noises , loudly , contacted Amazon about it was told to contact the seller , click to contact seller takes to the store , but no way to contact anyone or leave any reply , I know the machine should have a warranty as I have had it well under a year time , but still no where to submit or ask for help or anything don't buy if you want something you can trust and rely on as warranty don't exist.....",71
positive,Great price - perfect fit. Thank you!,71
negative,"This product is nothing close to what is shown in the video.  There was no plastic seal for the part that goes over the dryer pipe coming out of the dryer.  The worst part is that the other connection opening where you put the dryer hose into is oval shaped!  How do you fit a round dryer hose into an oval opening?  The straps that come with this messed up kit are useless.  The picture and video show 2 ROUND openings and it also has a sleeve that you put the dryer hose into first that has tabs that hold the hose onto the sleeve, then this sleeve snaps onto the main assembly piece.  Do not buy this product or any product from Ziggurat Products.  Buy from another company.  This company totally misrepresents their products.",71
positive,Used it for refrigerators works great,71
negative,It really isn't very durable.,71
positive,Product seems well constructed.,71
positive,Replace my filters on my LG Refrigerator. Great value compared to LG filters.,71
positive,While the item did not arrive 2nd-day (very first time in the many years I've been Amazon Prime) and though it was far more difficult to thread the wiring through the back of the oven this igniter seems to operate better than the one that came with the new oven. 4 stars only because of the shipping issue.,71
negative,TOO HEAVY,71
negative,Very disappointed in this product.<br />Was able to make 2 batches of ice and then broke!<br />Amazon is replacing with like product. Willing to try again before requesting my money back.,71
positive,Slipped right on nice and snug .. Perfect solution!!,71
positive,These are fabulous for any KCup users.  They are simple to use and a great asset to your daily coffee.  I have two Keurigs that I absolutely love using the refillable reusable carafe kcup in I have two 2.0's and this works perfectly.  This size allows you to use the carafe function on your Keurig too.,71
positive,Replaced fried one (electricity problem) with this one. That saved me not only money but labor time as well. The only issue it a little bit noisier.,71
positive,the product is plastic and feels like i am going to break it. other then that it works great.,71
positive,This filter works great and the price is fantastic!,71
negative,Exactly what i wanted Doesn't work good tho- so it's either buy a new Keurig or try to find vue k cups,71
negative,"It was too big, couldnt use it",71
positive,Fit perfectly into my Sear RO water filtration system. I was a little worried since it's not Name Brand; but I'm definitely enjoying my water and the money saved from now buying Sears brand.,71
negative,Takes just as much energy as handwashing your clothes.,71
positive,"Fine mesh, sturdy, came with reinforced center hole. Popped it right in the french press and haven't had any issues. Cheers",71
positive,"I followed the instructions, buy my fridge didn't need to have the line emptied, so it was just an easy turn to take the old one out and another easy turn to install the new one. Ran water through the line for a glass or two, and now we have great tasting filtered water again.",71
positive,I love it I use it for my dogs raw diet and any left overs of human nature,71
positive,Perfect match,71
positive,Feel like I could have a future as a washing machine repairman. The repair wasn't to hard and was fun and rewarding. Required more room than I expected for disassembly.,71
positive,Fits my existing fridge.,71
positive,Works perfectly,71
positive,Exactly what I needed. Great price and seems like good quality.,71
positive,I love reusable and sustainable items but I also love items that have good quality.  The coffee started to taste stale once I use the pods about three times. Also the top of the pods are not easily cleanable I had to put them in the dishwasher to get them fully clean.,71
positive,I had trouble installing this replacement part and then I changed my glasses to my readers and viola I can see the instructions.<br /><br />It’s actually a great product just really small print for the instructions.,71
positive,Does the job,71
positive,Great item,71
positive,"Just what I was looking for.  One piece, easy to clean and doesn't take up a lot of space.",71
positive,"Never thought these would work but very happy they work great! Our washer would walk and/or jump around ending up slamming against the dryer. We tried everything including strengthing the floor supports and didn't work. I did 8 loads of laundry, including heavy duty and bulky, and washer didn't budge.",71
positive,"The washer was leaking suddenly, not much, but enough. I like to fix my own appliances and such (#skillsmenshouldlearn), thanks to youtube the water inlet valve was the failed piece. I ordered the replacement based entirely on the part# and opted for same day shipping ($10 shipping = worth it). Let's take a minute to contemplate that - Same Day Shipping; receive the obscure part or piece at your front door the same day that you need it for $10 (in this case). What an age we live in. Anyway, part arrived 6 hours later and 20 minutes after that leaked fixed. So satisfying.",71
positive,I love my refrigerator. The transaction was excellent. Very timely delivery. It was bigger than our front door so the delivery guys took the time to take out the doors of the refrigerator and bring it in and then put the door back in. I am very happy and would recommend to all my friends. Thank you.,71
negative,"There is no drain valve built into this, therefore it can not be used with wm2010cw as they state that this is made for. Even the photos show a drain valve....",71
negative,"Didn’t even last 6 months before it stop producing ice. Not the best quality considering this happened. Wasn’t even used daily, and still broke.",71
positive,This worked out just great.  The refrigerator was here in the house and they had written the install date and did not leave any extras.,71
positive,"Everything was direct replacement, tensioner made a bit of noise ,added some lubricant to keep noise down.",71
positive,Everything you need in a tea ball!,71
positive,Perfect size and sure helps keep the smooth top stove clean.,71
positive,Item came quickly and does exactly what I hoped. The best part is when you do peel these off it doesn't seem to damage what it was stuck to. My toddlers gladly helped me find that out.,71
negative,These burner covers are very cheap looking. Very flimsy and the color is very pale. The are supposed to be white with a beige marbling but the white is almost the same color as the marbling. Yuck!!,71
positive,right part.,71
negative,Cheaply made.  Cheap plastic basket Started fraying after about 2 weeks of use.,71
positive,The OEM broke after 3 years of use and is definitely a manufacture defect. The instructions were OK. Took about 30 minutes to install. the screw is a star bit.,71
positive,Priced right!! Heats faster than OEM. Shipped on time!!,71
positive,"Works well. Wish it was a little more durable, as this is my second replacement.",71
positive,Only one I found that works. Love it. Got to order more,71
positive,Excellent fit.,71
positive,"This was a quick, cheap repair. Great part.",71
positive,"I took a chance that they would fit my old coffee maker. Unfortunately, they don’t fit as well as I had hoped. However, like all Melitta products, they are top quality. I always use Melitta filters in my bigger coffee maker.",71
positive,Wish I thought of this invention!!!,71
positive,Simple for me and I can make coffee just like I want.,71
positive,"I purchased the water filter to replace a Whirlpool Gold Model GS5SHASNL00 (part number 4396508).  Delivery was very prompt.  I bought the 2-pack; both were in excellent condition.  The filter installed with no problems and after 3 days of use, does not appear to be leaking anywhere.  The reason I did not give 5 stars is that the Whirlpool slide on “thumb & finger tab” must be removed from the old filter and slides onto the new filter.  The old filter had a design that latches the “finger tab” in place; this replacement filter did not have that.  I was concerned that the lack of a “lock-in” or “snap-in” design might be an issue.  So far it has worked.",71
positive,"Does a great job of spin drying all my clothes (under garments, shirts, jeans, etc.) and even heavier items like bath towels (one at a time, of course) in a very short amount of time. It does take some time to figure out the best method to load clothes evenly into the machine to prevent the inner basin from hitting the side of the machine, but it's not too hard to figure out. Despite this, having this spin dryer definitely beats having to hang wring clothes or letting clothes drip over my bathtub or sink.",71
positive,"I should have purchased this years ago when my refrigerator shelf first broke! I liked it so much I bought another, although it makes the side door a bit cramped.",71
positive,The knobs didn't fit and the red plastic color looked cheap.  I donated them.,71
positive,The part was what I needed and I received it in a couple of days.,71
negative,"works, a little flimsy",71
positive,Easy to install,71
positive,Norhing,71
positive,Exactly what I needed to store & protect my eggs.,71
positive,No leaks. Installed just like Samsung part.,71
positive,I love these because I love using my own coffee in my Keurig....just be careful to not put too much coffee in it or the grounds will overflow in to your cup,71
positive,Usually when a refrigerator stops cooling it's time to get a new one. But not anymore just fix it with a new fan. So if your refrigerator is cooling but nowhere near freezing. They always say clean  Underneath1st but that never works,71
positive,My husband and I can both enjoy coffee the way we like it.  I had the product in 10 days and that was over Christmas.  I would buy again from this seller.,71
negative,Washer worked great when it worked. After 2 months noticed a plastic smell one wash. Washer quit spinning afterwards. It will try and start to spin but shuts down after about 2 seconds. After it tries to spin water spits out the bottom. Super disappointed considering the price.,71
positive,This part would have cost me 120.00 plus tax in town...got the timer part earlier than expected and googled how to install took only a few minutes... Works like a charm!,71
negative,"Why is this designed to pull apart into sections anyway? Who needs that? Once it's been separated, it's really hard to reassemble.",71
positive,She loves it,71
positive,"My parents bought me the wrong Starbucks nespresso pods but I still wanted to try them and other flavors so I tried these. Very easy to use, love it :)",71
positive,"exactly what i needed to replace a broken one on an old stove top. the new temperature dial sits a little higher than the other original ones, but aside from that it works perfectly.",71
positive,Perfect,71
positive,"I've been ordering these filters for quite some time.  They work the same as the &#34;name brand&#34;.  Very economical, water tastes great, no regrets ever!",71
positive,Came much quicker than expected. The knob fit our GE dryer perfectly! This is a true GE product.,71
positive,Water filter for frig.,71
positive,fit great,71
positive,"Great water filter!  You can spend more, but you don't have to.  Fits perfectly, and provides great tasting water.",71
positive,Used for deviled eggs at a picnic and worked great as carrier!,71
positive,The filters fit perfectly in my Keurig.  A great value as well.,71
negative,It’s ok,71
positive,Just put the water in and let it work…so easy.  Like the bigger cubes better.  Grandkids think it’s a new toy!!,71
positive,Nothing like having Sonic Ice at home and on a schedule to,71
negative,Doesn't heat even a glass of water. Loew's recommended repair man just called up and canceled our appointment. We have a warranty and will probably have to have this turkey replaced. Wish me luck.,71
positive,These filters were a perfect fit and an easy install. Love the look of them once installed as well.,71
positive,Exactly as described worked perfectly,71
positive,"One problem, it washes TO well with some items, even on gentle it has a very strong cycle/current and some delicate materials will be snagged if you don't put them inside of a washing bag or tied up pillowcase. There are some squared off edges inside the wash basin where the lint collector is, the delicate materials can get snagged and torn on it in the strong current.<br /><br />The spin function is excellent, gets items almost dry within a minute it seems. It's NOT a &#34;dryer&#34; as some people have claimed, it's just the spin cycle.<br /><br />The draining function works pretty well, but there will still be a thin layer of water in the bottom, it's not perfect. And definitely turn it off as soon as the water is mostly gone, leaving it on when there is no water to drain can ruin the pump.<br /><br />I use a bucket to fill it up, as its faster, but the water tube would work just fine if I could figure out a way to attach it to the faucet.",71
negative,This product is defective and does not fit securely on the base.  We went to a shop that sells Jenn Air product replacements and learned that it is aftermarket.  We compared product number with the genuine part and even though it has the exact part number it is not compatible at all.  Disappointing as we love buying things on Amazon and in this case we had to pay shipping and handling and cannot get a refund on that part.  Buyer beware.  Stick with genuine parts.,71
positive,Always works fine!,71
positive,Works great,71
positive,"Items worked perfectly, fixed the dryer!",71
positive,Great item. Does all it says,71
positive,Its a good washing machine to wash our daily clothes. You can wash the clothes acc. To your convenient time.  It saves our time to go to laundry and use the machines and dryer in the cold weather. M happy with this.,71
positive,"I have used the original AeroPress filters and these, and these perform just as well even after rinsing and reusing several times. This would be a five star review if I had information on the comparative resource use of reusing the filters (which uses water) versus producing and shipping them. Avoiding the consumption of an additional pack means rinsing 350 filters. How much water (and energy/emissions, plastic, etc.) would be spent making that additional pack?<br /><br />By the way, when I purchased this in Jan 2022 there were a lot of reviews and answered questions, and today (later the same month) there only five ratings with no reviews or questions. Why?",71
positive,PERFECT!  It was easy to install and looks like it came with my washer.,71
positive,"Washer works like new.  Although it didn't look exactly like the original(probably 20 years old) it was close, and it fit easily.  The washer actually seems to fill quicker than I remember when it was new.",71
positive,Guess i didnt pay attention to size but it hold about a cup of milk for frothing,71
positive,Holds 13 Eggs!,71
positive,I ordered the pure source water filter for my refrigerator and it was a perfect fit and the water tastes great. It arrived quickly and was well packed.,71
positive,"This product came very quickly and as promised.  It was almost identical to the old one and fit the dishwasher perfectly.  I love all of the slots for knives so that they do not bump together and get chipped. I have always hand washed my knives and it made me uneasy to load them into the dishwasher; however, much to my surprise they did wonderfully.  Tip:  Do not fill every hole if you are washing your good kitchen knives!  I only filled every other hole because I could see that using every hole placed them just a little to close together for my liking.",71
positive,Excellent!,71
positive,Great relief this works as the view cups are super expensive and get used fast.,71
positive,3 for the price of 1. that's basically the cost difference when buying these filters instead of the brand name one. had to flush system as stated for like 10 minutes to make sure all the particulates get flushed out of the system. other than that had same taste as the original.,71
positive,"The old wheels fall off because the hub that holds them on is made of trashy plastic. These wheels have a metal hub and spoke, so hopefully they will not fall off. They are certainly less expensive than OEM parts, so that's pretty great.",71
positive,Setup to my existing router was simple and I appreciate how easy it is to look at the data from the monitor from any webbrowser.,71
negative,Died after a year. Stops oumping water,71
positive,"So far, so good.  As soon as installed, the water pressure increased dramatically.  Water tastes good...a real plus!",71
positive,Good product,71
negative,"Works, but is loud!<br />The oem on eBay is just 35 bucks.",71
negative,"Stay away from this fridge and company. We bought this item a year ago. It took 3 attempts before we got one that worked, that should have been the first sign to just return it and cut our losses. It worked fine until the one year mark and then the motor ran continuously and could not cool the unit. After a service call, I was directed to the manufacturer, luckily we were still under warranty. After 1 month of saying a new unit would be coming, I eventually called back and was told they no longer have any in stock (or any substitutes) and they would issue me a refund, minus sales tax.",71
negative,Do not buy! This is not universal. Does not work with Keurig 2.0. Returning.,71
positive,Was ready enough to install and it works really well. Only issue is that it scratches easily.,71
negative,Missing pressure plate. Waste of money.,71
positive,Good so far. I have had this product for about a month and it seems to be holding up very well.,71
positive,Fit great,71
positive,the price  was reasonable,71
positive,"Bought this for a very small apartment with no laundry. Fits nicely against the wall under the window. It may not be obvious at first but you can adjust the heat level, which I suspect some may have missed, and will drastically change your drying time. Did I lot of research before buying this as there are so many brands that are very similar. I wish CTT made a similar sized washer.",71
negative,Lo que no me gustó es que es demaciado pequeña pero lava bien,71
negative,Lasted only two years the original did more than 10,71
positive,They are so soft and beautiful.  Easy to put on,71
positive,works great,71
